"Player","Season","Date","Day","Comp","Round","Venue","Result","Squad","Opponent","Start","Pos","Min","Gls_Performance","Ast_Performance","PK_Performance","PKatt_Performance","Sh_Performance","SoT_Performance","CrdY_Performance","CrdR_Performance","Touches_Performance","Tkl_Performance","Int_Performance","Blocks_Performance","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons","Fls_Performance","Fld_Performance","Off_Performance","Crs_Performance","TklW_Performance","OG_Performance","PKwon_Performance","PKcon_Performance"
"Gavi","2022-2023","1/19/23","Thu","Copa del Rey","Round of 16","Away","W 5–0","Barcelona","D Ceuta","N","",45,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","1/22/23","Sun","La Liga","Matchweek 18","Home","W 1–0","Barcelona","Getafe","Y","LM",90,0,0,0,0,1,1,0,0,66,2,1,1,0,0,0,2,0,40,53,75.5,7,38,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","1/25/23","Wed","Copa del Rey","Quarter-finals","Home","W 1–0","Barcelona","Real Sociedad","Y","FW",90,0,0,0,0,2,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","1/28/23","Sat","La Liga","Matchweek 19","Away","W 1–0","Barcelona","Girona","Y","LW,RM",90,0,0,0,0,0,0,1,0,38,2,0,0,0,0,0,2,1,29,33,87.9,5,15,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","2/1/23","Wed","La Liga","Matchweek 17","Away","W 2–1","Barcelona","Betis","Y","LW",83,0,0,0,0,2,0,0,0,51,5,1,3,0.1,0.1,0,1,0,33,38,86.8,2,38,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","2/5/23","Sun","La Liga","Matchweek 20","Home","W 3–0","Barcelona","Sevilla","Y","LW",79,1,0,0,0,2,1,0,0,41,1,0,3,0.9,0.9,0.1,2,0,24,30,80,4,26,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","2/12/23","Sun","La Liga","Matchweek 21","Away","W 1–0","Barcelona","Villarreal","Y","LW",90,0,0,0,0,0,0,0,0,35,2,3,1,0,0,0.1,2,0,19,23,82.6,4,21,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","2/16/23","Thu","Europa Lg","Knockout round play-offs","Home","D 2–2","Barcelona","Manchester Utd","Y","LW,DM",90,0,0,0,0,0,0,1,0,60,4,1,4,0,0,0,6,0,32,43,74.4,4,31,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","2/19/23","Sun","La Liga","Matchweek 22","Home","W 2–0","Barcelona","Cádiz","Y","RM",90,0,0,0,0,2,1,0,0,51,0,0,1,0.2,0.2,0.5,4,0,34,39,87.2,12,31,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","2/26/23","Sun","La Liga","Matchweek 23","Away","L 0–1","Barcelona","Almería","Y","LW,DM,RM",90,0,0,0,0,2,0,1,0,55,2,1,2,0.1,0.1,0,1,0,27,36,75,1,29,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA
